QID	Peptide	Unmod Peptide	References	Alignment Score	Min E-Value	Query Start	Query End	Num Identical
13574			[('##sp_Q15052-2_ARHG6_HUMAN', 584, 590), ('##tr_B7Z3C7_B7Z3C7_HUMAN', 611, 617), ('##sp_Q15052_ARHG6_HUMAN', 584, 590), ('##gi_22027525_ref_NP_004831.1_', 584, 590), ('tr_H0YC04_H0YC04_HUMAN', 58, 63), ('sp_Q5W188_CST9P_HUMAN', 45, 50), ('##sp_P11844_CRGA_HUMAN', 47, 55), ('##gi_148491057_ref_NP_055432.2_', 47, 55), ('##sp_O60487_MPZL2_HUMAN', 179, 189), ('##gi_5032247_ref_NP_005788.1_', 179, 189), ('##gi_21536337_ref_NP_658911.1_', 179, 189), ('tr_K7EJW1_K7EJW1_HUMAN', 150, 157), ('gi_336088680_ref_NP_001229518.1_', 150, 157), ('sp_Q9NP99_TREM1_HUMAN', 150, 157), ('gi_8924262_ref_NP_061113.1_', 150, 157), ('tr_C9J5E3_C9J5E3_HUMAN', 62, 67), ('tr_C9JNS9_C9JNS9_HUMAN', 79, 84), ('tr_K7EKM5_K7EKM5_HUMAN', 150, 157), ('##sp_Q9H295-2_DCSTP_HUMAN', 100, 105), ('##gi_381388758_ref_NP_001244246.1_', 100, 105), ('##tr_B0QXZ8_B0QXZ8_HUMAN', 215, 220), ('##tr_B0QXZ9_B0QXZ9_HUMAN', 216, 221), ('##tr_B4DXP3_B4DXP3_HUMAN', 150, 155), ('##sp_Q9H295_DCSTP_HUMAN', 287, 292), ('##gi_13540565_ref_NP_110415.1_', 287, 292), ('tr_C9JL73_C9JL73_HUMAN', 62, 67), ('sp_P21281_VATB2_HUMAN', 68, 73), ('gi_19913428_ref_NP_001684.2_', 68, 73), ('sp_P15313_VATB1_HUMAN', 62, 67), ('gi_19913426_ref_NP_001683.2_', 62, 67), ('sp_O15156_ZBT7B_HUMAN', 454, 459), ('gi_374252458_ref_NP_001243384.1_', 454, 459), ('##tr_F5H313_F5H313_HUMAN', 505, 513), ('sp_O15156-2_ZBT7B_HUMAN', 488, 493), ('gi_356995909_ref_NP_001239335.1_', 488, 493), ('##sp_Q9UGU5_HMGX4_HUMAN', 423, 428), ('##gi_51173873_ref_NP_001003681.1_', 423, 428), ('##sp_O95932-2_TGM3L_HUMAN', 406, 412), ('##gi_361050362_ref_NP_001241663.1_', 406, 412), ('##sp_Q92611_EDEM1_HUMAN', 236, 241), ('##gi_7662002_ref_NP_055489.1_', 236, 241), ('##sp_O95932_TGM3L_HUMAN', 487, 493), ('##gi_148664232_ref_NP_945345.2_', 487, 493), ('sp_Q9H116_GZF1_HUMAN', 74, 79), ('gi_11968150_ref_NP_071927.1_', 74, 79), ('##tr_B7ZL90_B7ZL90_HUMAN', 730, 735), ('##sp_P53621_COPA_HUMAN', 652, 658), ('##gi_148536853_ref_NP_004362.2_', 652, 658), ('##sp_P53621-2_COPA_HUMAN', 652, 658), ('##gi_148536855_ref_NP_001091868.1_', 652, 658), ('##tr_F5H638_F5H638_HUMAN', 138, 146), ('##sp_Q8WXG6-8_MADD_HUMAN', 26, 32), ('##gi_209863002_ref_NP_001129416.1_', 26, 32), ('##gi_209862998_ref_NP_001129415.1_', 26, 32), ('##sp_Q8WXG6-5_MADD_HUMAN', 26, 32), ('##gi_209862979_ref_NP_569828.2_', 26, 32), ('##sp_Q8WXG6-4_MADD_HUMAN', 26, 32), ('##gi_209862975_ref_NP_569827.2_', 26, 32), ('##gi_209571517_ref_NP_569832.2_', 26, 32), ('##sp_Q8WXG6-3_MADD_HUMAN', 26, 32), ('##gi_209862971_ref_NP_569826.2_', 26, 32), ('##sp_Q8WXG6-2_MADD_HUMAN', 26, 32), ('##gi_209862983_ref_NP_569829.2_', 26, 32), ('##sp_Q8WXG6_MADD_HUMAN', 26, 32), ('##gi_209862994_ref_NP_003673.3_', 26, 32), ('##tr_Q59GD8_Q59GD8_HUMAN', 1034, 1042), ('##sp_O60840-4_CAC1F_HUMAN', 865, 873), ('##gi_377823713_ref_NP_001243719.1_', 865, 873), ('##sp_O60840-2_CAC1F_HUMAN', 865, 873), ('##gi_377823715_ref_NP_001243718.1_', 865, 873), ('##sp_O60840_CAC1F_HUMAN', 865, 873), ('##gi_53832007_ref_NP_005174.2_', 865, 873), ('##sp_Q13936-17_CAC1C_HUMAN', 997, 1005), ('##sp_Q13936-19_CAC1C_HUMAN', 986, 994), ('##gi_193788548_ref_NP_001123318.1_', 986, 994), ('##sp_Q13936-35_CAC1C_HUMAN', 997, 1005), ('##gi_193788544_ref_NP_001123316.1_', 997, 1005), ('##tr_B0FYA3_B0FYA3_HUMAN', 1010, 1018), ('##gi_192807298_ref_NP_001122311.1_', 1010, 1018), ('##tr_E9PDJ1_E9PDJ1_HUMAN', 997, 1005), ('##sp_Q13936-12_CAC1C_HUMAN', 997, 1005), ('##sp_Q13936-20_CAC1C_HUMAN', 997, 1005), ('##sp_Q13936-21_CAC1C_HUMAN', 997, 1005), ('##sp_Q13936-22_CAC1C_HUMAN', 997, 1005), ('##sp_Q13936-23_CAC1C_HUMAN', 997, 1005), ('##gi_193788536_ref_NP_001123312.1_', 997, 1005), ('##gi_193788538_ref_NP_001123313.1_', 997, 1005), ('##gi_193788540_ref_NP_001123314.1_', 997, 1005), ('##gi_193788542_ref_NP_001123315.1_', 997, 1005), ('##gi_264681416_ref_NP_001161095.1_', 997, 1005), ('##gi_120433602_ref_NP_000710.5_', 997, 1005), ('##sp_Q13936-26_CAC1C_HUMAN', 998, 1006), ('##sp_Q13936-15_CAC1C_HUMAN', 1003, 1011), ('##sp_Q13936-16_CAC1C_HUMAN', 1032, 1040), ('##gi_193794832_ref_NP_001123311.1_', 1003, 1011), ('##sp_Q13936-25_CAC1C_HUMAN', 1005, 1013), ('##sp_Q13936-29_CAC1C_HUMAN', 1005, 1013), ('##gi_193788532_ref_NP_001123309.1_', 1005, 1013), ('##gi_193788534_ref_NP_001123310.1_', 1005, 1013), ('##sp_Q13936-32_CAC1C_HUMAN', 1014, 1022)]	72	2.3	11	18	7
5383			[('sp_P04181-2_OAT_HUMAN', 5, 13), ('gi_284507298_ref_NP_001165285.1_', 5, 13), ('sp_P04181_OAT_HUMAN', 143, 151), ('gi_4557809_ref_NP_000265.1_', 143, 151)]	108	0.005	7	15	9
14091			[('##tr_Q5QP88_Q5QP88_HUMAN', 115, 125), ('##sp_Q9NR50-3_EI2BG_HUMAN', 319, 329), ('##gi_387527981_ref_NP_001248347.1_', 319, 329), ('##sp_Q9NR50-2_EI2BG_HUMAN', 330, 340), ('##gi_262205273_ref_NP_001160060.1_', 330, 340), ('##sp_Q9NR50_EI2BG_HUMAN', 370, 380), ('##gi_9966779_ref_NP_065098.1_', 370, 380)]	84	0.81	17	27	9
13577			[('tr_A6NM32_A6NM32_HUMAN', 3, 12), ('tr_C9JQD4_C9JQD4_HUMAN', 3, 12), ('sp_O43447_PPIH_HUMAN', 29, 38), ('gi_5454154_ref_NP_006338.1_', 29, 38)]	120	1.3e-05	1	10	10
18648			[('sp_Q9BPX3_CND3_HUMAN', 868, 879), ('gi_21359945_ref_NP_071741.2_', 868, 879)]	144	8e-07	3	14	12
5394			[('tr_E9PPR5_E9PPR5_HUMAN', 180, 190), ('tr_F5H3J2_F5H3J2_HUMAN', 153, 163), ('gi_304434531_ref_NP_001182122.1_', 153, 163), ('sp_P49321_NASP_HUMAN', 217, 227), ('gi_27262628_ref_NP_002473.2_', 217, 227), ('sp_P49321-3_NASP_HUMAN', 219, 229)]	132	7.1e-05	2	12	11
13588			[('sp_P30040-2_ERP29_HUMAN', 39, 48), ('gi_77628151_ref_NP_001029197.1_', 39, 48), ('sp_P30040_ERP29_HUMAN', 39, 48), ('gi_5803013_ref_NP_006808.1_', 39, 48)]	120	3.5e-06	2	11	10
5397			[('tr_B8ZZL8_B8ZZL8_HUMAN', 41, 54), ('sp_P61604_CH10_HUMAN', 41, 54), ('gi_4504523_ref_NP_002148.1_', 41, 54), ('gi_321117267_ref_NP_001189414.1_', 41, 54)]	168	2.2e-09	1	14	14
5398			[('tr_A4FU63_A4FU63_HUMAN', 85, 91), ('sp_Q9HB29_ILRL2_HUMAN', 202, 208), ('gi_28416902_ref_NP_003845.2_', 202, 208)]	84	12.0	14	20	7
11438			[('sp_O43707_ACTN4_HUMAN', 194, 201), ('gi_12025678_ref_NP_004915.2_', 194, 201), ('tr_C9JRP8_C9JRP8_HUMAN', 211, 218), ('sp_Q9H254-2_SPTN4_HUMAN', 211, 218), ('tr_M0QZQ3_M0QZQ3_HUMAN', 211, 218), ('sp_P11277-3_SPTB1_HUMAN', 204, 211), ('sp_P11277_SPTB1_HUMAN', 204, 211), ('gi_67782319_ref_NP_000338.3_', 204, 211), ('sp_Q9H254-4_SPTN4_HUMAN', 211, 218), ('sp_P11277-2_SPTB1_HUMAN', 204, 211), ('gi_67782321_ref_NP_001020029.1_', 204, 211), ('sp_O15020-2_SPTN2_HUMAN', 207, 214), ('sp_O15020_SPTN2_HUMAN', 207, 214), ('gi_5902122_ref_NP_008877.1_', 207, 214), ('sp_Q9H254_SPTN4_HUMAN', 211, 218), ('gi_115430237_ref_NP_066022.2_', 211, 218)]	96	0.46	1	8	8
13593			[('sp_P54577_SYYC_HUMAN', 247, 265), ('gi_4507947_ref_NP_003671.1_', 247, 265)]	228	8.3e-16	1	19	19
11091			[('tr_F5GYU2_F5GYU2_HUMAN', 119, 126), ('tr_F5GXY2_F5GXY2_HUMAN', 119, 126), ('sp_P00338-5_LDHA_HUMAN', 119, 126), ('gi_260099727_ref_NP_001158888.1_', 119, 126), ('sp_P00338-2_LDHA_HUMAN', 119, 126), ('gi_260099725_ref_NP_001158887.1_', 119, 126), ('tr_F5H308_F5H308_HUMAN', 91, 98), ('sp_P00338_LDHA_HUMAN', 119, 126), ('gi_5031857_ref_NP_005557.1_', 119, 126), ('sp_P00338-3_LDHA_HUMAN', 148, 155), ('gi_260099723_ref_NP_001158886.1_', 148, 155)]	96	0.0056	1	8	8
5404			[('##tr_B7Z941_B7Z941_HUMAN', 63, 69), ('##sp_Q9Y624_JAM1_HUMAN', 63, 69), ('##gi_8393638_ref_NP_058642.1_', 63, 69), ('##tr_B7Z5W1_B7Z5W1_HUMAN', 63, 69)]	84	1.4	3	9	7
9093			[('tr_I3L147_I3L147_HUMAN', 70, 75), ('sp_Q9UL54-2_TAOK2_HUMAN', 277, 282), ('gi_4759208_ref_NP_004774.1_', 277, 282), ('sp_Q9UL54-3_TAOK2_HUMAN', 104, 109), ('sp_Q9UL54-4_TAOK2_HUMAN', 277, 282), ('gi_354721195_ref_NP_001238972.1_', 277, 282), ('sp_Q9UL54_TAOK2_HUMAN', 277, 282), ('gi_45505130_ref_NP_057235.2_', 277, 282)]	72	1.8	4	9	6
5409			[('sp_Q13428-5_TCOF_HUMAN', 571, 579), ('gi_57164979_ref_NP_001008657.1_', 571, 579), ('sp_Q13428-2_TCOF_HUMAN', 494, 502), ('gi_57164975_ref_NP_000347.2_', 494, 502), ('sp_Q13428-8_TCOF_HUMAN', 494, 502), ('gi_207113164_ref_NP_001128717.1_', 494, 502), ('tr_J3KQ96_J3KQ96_HUMAN', 571, 579), ('sp_Q13428-6_TCOF_HUMAN', 571, 579), ('gi_304376301_ref_NP_001182070.1_', 571, 579), ('sp_Q13428-7_TCOF_HUMAN', 571, 579), ('gi_207113162_ref_NP_001128716.1_', 571, 579), ('tr_E7ETY2_E7ETY2_HUMAN', 571, 579), ('sp_Q13428_TCOF_HUMAN', 571, 579), ('gi_207113160_ref_NP_001128715.1_', 571, 579), ('sp_Q13428-3_TCOF_HUMAN', 571, 579), ('sp_Q13428-4_TCOF_HUMAN', 571, 579), ('tr_E9PHK9_E9PHK9_HUMAN', 571, 579)]	108	0.006	1	9	9
5410			[('sp_P22694-10_KAPCB_HUMAN', 231, 237), ('gi_338827761_ref_NP_001229790.1_', 231, 237), ('sp_P22694-4_KAPCB_HUMAN', 248, 254), ('gi_338827763_ref_NP_001229791.1_', 248, 254), ('sp_P22694-3_KAPCB_HUMAN', 249, 255), ('gi_338827755_ref_NP_001229787.1_', 249, 255), ('sp_P17612-2_KAPCA_HUMAN', 253, 259), ('gi_46909584_ref_NP_997401.1_', 253, 259), ('sp_P17612_KAPCA_HUMAN', 261, 267), ('sp_P22694_KAPCB_HUMAN', 261, 267), ('gi_4506055_ref_NP_002721.1_', 261, 267), ('gi_4506057_ref_NP_002722.1_', 261, 267), ('sp_P22694-5_KAPCB_HUMAN', 264, 270), ('sp_P22694-7_KAPCB_HUMAN', 265, 271), ('gi_338827757_ref_NP_001229788.1_', 265, 271), ('tr_C9JK39_C9JK39_HUMAN', 267, 273), ('sp_P22694-6_KAPCB_HUMAN', 267, 273), ('gi_338827759_ref_NP_001229789.1_', 267, 273), ('sp_P22694-9_KAPCB_HUMAN', 268, 274), ('gi_338827753_ref_NP_001229786.1_', 268, 274), ('sp_P22694-2_KAPCB_HUMAN', 308, 314), ('gi_33636738_ref_NP_891993.1_', 308, 314)]	84	0.8	6	12	7
18651			[('tr_D6RD59_D6RD59_HUMAN', 138, 144), ('sp_P81408-2_F189B_HUMAN', 138, 144), ('gi_38146118_ref_NP_937995.1_', 138, 144), ('tr_B1AVS5_B1AVS5_HUMAN', 216, 222), ('gi_390190199_ref_NP_001254537.1_', 216, 222), ('sp_P81408_F189B_HUMAN', 234, 240), ('gi_38146116_ref_NP_006580.2_', 234, 240)]	84	1.3	4	10	7
13607			[('##tr_J3QQH8_J3QQH8_HUMAN', 6, 13), ('##tr_H0Y8P5_H0Y8P5_HUMAN', 45, 51), ('##tr_J3KSR3_J3KSR3_HUMAN', 22, 29), ('tr_F5H368_F5H368_HUMAN', 112, 117), ('##tr_H7C462_H7C462_HUMAN', 99, 104), ('tr_H0YCR0_H0YCR0_HUMAN', 119, 124), ('tr_H0YEN4_H0YEN4_HUMAN', 137, 142), ('sp_A6NKF2_ARI3C_HUMAN', 395, 400), ('gi_62865637_ref_NP_001017363.1_', 395, 400), ('##tr_E9PAQ1_E9PAQ1_HUMAN', 107, 112), ('##sp_P27918_PROP_HUMAN', 161, 166), ('##gi_4505737_ref_NP_002612.1_', 161, 166), ('##gi_223671861_ref_NP_001138724.1_', 161, 166), ('##sp_Q9BRD0-2_BUD13_HUMAN', 328, 333), ('##gi_229577273_ref_NP_001153208.1_', 328, 333), ('##tr_J3QKY3_J3QKY3_HUMAN', 414, 421), ('##tr_B4DYE1_B4DYE1_HUMAN', 414, 421), ('##tr_F5H1B7_F5H1B7_HUMAN', 414, 421), ('##sp_Q9BRD0_BUD13_HUMAN', 462, 467), ('##gi_14249338_ref_NP_116114.1_', 462, 467), ('##gi_410171732_ref_XP_003960359.1_', 409, 414), ('sp_Q99607_ELF4_HUMAN', 496, 501), ('gi_4503555_ref_NP_001412.1_', 496, 501), ('gi_187608767_ref_NP_001120669.1_', 496, 501), ('##sp_Q14494-2_NF2L1_HUMAN', 414, 421), ('##tr_J9JIE5_J9JIE5_HUMAN', 414, 421), ('##sp_Q14494_NF2L1_HUMAN', 414, 421), ('##gi_4505379_ref_NP_003195.1_', 414, 421), ('##tr_J3KP74_J3KP74_HUMAN', 311, 316), ('sp_P52948-4_NUP98_HUMAN', 517, 522), ('gi_21264369_ref_NP_624357.1_', 517, 522), ('sp_P52948-3_NUP98_HUMAN', 534, 539), ('gi_56549643_ref_NP_005378.4_', 534, 539), ('##tr_E9PCX7_E9PCX7_HUMAN', 644, 650), ('##sp_Q13423_NNTM_HUMAN', 644, 650), ('##gi_122939155_ref_NP_036475.3_', 644, 650), ('##gi_122939153_ref_NP_892022.2_', 644, 650), ('##sp_Q9NS40_KCNH7_HUMAN', 62, 68), ('##gi_27886653_ref_NP_150375.2_', 62, 68), ('##sp_Q92954-4_PRG4_HUMAN', 727, 732), ('##gi_189181724_ref_NP_001121182.1_', 727, 732), ('##sp_Q92954-3_PRG4_HUMAN', 727, 732), ('##gi_189181722_ref_NP_001121181.1_', 727, 732), ('sp_Q6P2S7_GNN_HUMAN', 1160, 1165), ('##sp_Q9UHC6_CNTP2_HUMAN', 891, 900), ('##gi_7662350_ref_NP_054860.1_', 891, 900), ('##sp_Q92954-6_PRG4_HUMAN', 727, 732), ('##sp_Q92954-2_PRG4_HUMAN', 727, 732), ('##gi_189181720_ref_NP_001121180.1_', 727, 732), ('##sp_Q92954_PRG4_HUMAN', 727, 732), ('##gi_67190163_ref_NP_005798.2_', 727, 732), ('tr_J3KP29_J3KP29_HUMAN', 517, 522), ('sp_P52948-6_NUP98_HUMAN', 534, 539), ('sp_P52948-2_NUP98_HUMAN', 517, 522), ('gi_56549645_ref_NP_624358.2_', 517, 522), ('sp_P52948-5_NUP98_HUMAN', 517, 522), ('gi_21264365_ref_NP_057404.2_', 517, 522), ('sp_P52948_NUP98_HUMAN', 534, 539), ('##sp_Q2KJY2_KI26B_HUMAN', 1858, 1865), ('##gi_124430752_ref_NP_060482.2_', 1858, 1865), ('sp_O00555-7_CAC1A_HUMAN', 481, 488), ('sp_O00555-5_CAC1A_HUMAN', 481, 488), ('sp_O00555-2_CAC1A_HUMAN', 481, 488), ('sp_O00555-3_CAC1A_HUMAN', 481, 488), ('gi_187828880_ref_NP_001120693.1_', 481, 488), ('gi_291463273_ref_NP_001167551.1_', 481, 488), ('gi_148536844_ref_NP_000059.3_', 481, 488), ('sp_O00555-6_CAC1A_HUMAN', 481, 488), ('sp_O00555_CAC1A_HUMAN', 481, 488), ('sp_O00555-4_CAC1A_HUMAN', 481, 488), ('tr_I3L313_I3L313_HUMAN', 480, 487), ('sp_O00555-8_CAC1A_HUMAN', 480, 487), ('gi_187828892_ref_NP_001120694.1_', 480, 487), ('gi_148536846_ref_NP_075461.2_', 481, 488), ('sp_Q6ZRS2-2_SRCAP_HUMAN', 1107, 1114), ('sp_Q6ZRS2_SRCAP_HUMAN', 1107, 1114), ('gi_146219843_ref_NP_006653.2_', 1107, 1114)]	72	6.7	6	13	7
13608			[('tr_E9PSH5_E9PSH5_HUMAN', 4, 25), ('tr_E9PN25_E9PN25_HUMAN', 4, 25), ('tr_E9PPY6_E9PPY6_HUMAN', 4, 25), ('tr_E9PI65_E9PI65_HUMAN', 4, 25), ('tr_E9PQQ4_E9PQQ4_HUMAN', 4, 25), ('tr_E9PQK7_E9PQK7_HUMAN', 4, 25), ('tr_E9PK54_E9PK54_HUMAN', 4, 25), ('tr_E9PLF4_E9PLF4_HUMAN', 4, 25), ('sp_P11142-2_HSP7C_HUMAN', 4, 25), ('gi_24234686_ref_NP_694881.1_', 4, 25), ('tr_E9PNE6_E9PNE6_HUMAN', 4, 25), ('tr_E9PKE3_E9PKE3_HUMAN', 4, 25), ('sp_P11142_HSP7C_HUMAN', 4, 25), ('gi_5729877_ref_NP_006588.1_', 4, 25)]	216	2.2e-15	1	22	20
5417			[('sp_O96013_PAK4_HUMAN', 178, 198), ('gi_5031975_ref_NP_005875.1_', 178, 198), ('gi_62422554_ref_NP_001014831.1_', 178, 198), ('gi_62422557_ref_NP_001014832.1_', 178, 198)]	180	1.6e-09	1	21	19
5419			[('tr_Q5T8M8_Q5T8M8_HUMAN', 230, 238), ('tr_A6NL76_A6NL76_HUMAN', 232, 240), ('sp_P63267-2_ACTH_HUMAN', 276, 284), ('gi_315570273_ref_NP_001186822.1_', 276, 284), ('tr_Q5T8M7_Q5T8M7_HUMAN', 285, 293), ('sp_P60709_ACTB_HUMAN', 318, 326), ('sp_P63261_ACTG_HUMAN', 318, 326), ('gi_4501887_ref_NP_001605.1_', 318, 326), ('gi_4501885_ref_NP_001092.1_', 318, 326), ('gi_316659409_ref_NP_001186883.1_', 318, 326), ('sp_P63267_ACTH_HUMAN', 319, 327), ('gi_4501889_ref_NP_001606.1_', 319, 327), ('sp_P62736_ACTA_HUMAN', 320, 328), ('sp_P68032_ACTC_HUMAN', 320, 328), ('sp_P68133_ACTS_HUMAN', 320, 328), ('gi_4885049_ref_NP_005150.1_', 320, 328), ('gi_213688375_ref_NP_001135417.1_', 320, 328), ('gi_4501883_ref_NP_001604.1_', 320, 328), ('gi_4501881_ref_NP_001091.1_', 320, 328), ('tr_I3L3I4_I3L3I4_HUMAN', 318, 326)]	108	0.0015	3	11	9
5420			[('tr_E7ESU4_E7ESU4_HUMAN', 862, 870), ('gi_221316741_ref_NP_001137502.1_', 862, 870), ('sp_Q9H0A0_NAT10_HUMAN', 934, 942), ('gi_221316723_ref_NP_078938.2_', 934, 942)]	108	0.036	9	17	9
5422			[('##sp_Q9NX36_DJC28_HUMAN', 37, 43), ('##gi_40254908_ref_NP_060303.2_', 37, 43), ('##gi_93352549_ref_NP_001035282.1_', 37, 43), ('sp_Q99541_PLIN2_HUMAN', 149, 157), ('gi_34577059_ref_NP_001113.2_', 149, 157)]	84	5.5	1	7	7
10461			[('sp_Q5TCZ1-2_SPD2A_HUMAN', 646, 660), ('tr_F5GZ35_F5GZ35_HUMAN', 674, 688), ('tr_B7Z9C6_B7Z9C6_HUMAN', 706, 720), ('tr_H0Y507_H0Y507_HUMAN', 766, 780), ('sp_Q5TCZ1-3_SPD2A_HUMAN', 811, 825), ('gi_55749544_ref_NP_055446.2_', 811, 825), ('sp_Q5TCZ1_SPD2A_HUMAN', 839, 853)]	180	5e-11	3	17	15
9096			[('tr_C9JSI8_C9JSI8_HUMAN', 157, 168), ('tr_H7C5T3_H7C5T3_HUMAN', 13, 24), ('tr_E9PJ71_E9PJ71_HUMAN', 275, 285), ('sp_Q49A88-4_CCD14_HUMAN', 231, 242), ('sp_Q9H7P9-2_PKHG2_HUMAN', 236, 249), ('sp_Q49A88-2_CCD14_HUMAN', 231, 242), ('sp_Q49A88-3_CCD14_HUMAN', 271, 282), ('sp_Q49A88-6_CCD14_HUMAN', 390, 401), ('gi_169646281_ref_NP_073594.4_', 390, 401), ('tr_J3QT39_J3QT39_HUMAN', 412, 423), ('sp_Q49A88_CCD14_HUMAN', 431, 442), ('##sp_P28749-2_RBL1_HUMAN', 543, 553), ('##gi_34577077_ref_NP_899662.1_', 543, 553), ('##sp_P28749_RBL1_HUMAN', 597, 607), ('##gi_34577079_ref_NP_002886.2_', 597, 607), ('sp_A1L390-3_PKHG3_HUMAN', 171, 184), ('gi_55749621_ref_NP_056364.1_', 171, 184), ('sp_A1L390_PKHG3_HUMAN', 227, 240), ('tr_E7ESZ3_E7ESZ3_HUMAN', 177, 190), ('tr_H7BXC7_H7BXC7_HUMAN', 133, 146), ('sp_Q9H7P9-3_PKHG2_HUMAN', 236, 249), ('sp_Q9H7P9_PKHG2_HUMAN', 236, 249), ('gi_164565408_ref_NP_073746.2_', 236, 249)]	96	0.027	12	25	11
5426			[('tr_D6RAA8_D6RAA8_HUMAN', 43, 51), ('tr_F8W7E0_F8W7E0_HUMAN', 376, 384), ('tr_E7EQ12_E7EQ12_HUMAN', 43, 51), ('tr_E7EQA0_E7EQA0_HUMAN', 51, 59), ('tr_H0Y7F0_H0Y7F0_HUMAN', 80, 88), ('tr_H0YD33_H0YD33_HUMAN', 71, 79), ('tr_H0Y9H6_H0Y9H6_HUMAN', 86, 94), ('sp_P20810-3_ICAL_HUMAN', 210, 218), ('tr_E9PDE4_E9PDE4_HUMAN', 256, 264), ('tr_E7ES10_E7ES10_HUMAN', 328, 336), ('sp_P20810-4_ICAL_HUMAN', 287, 295), ('tr_E9PCH5_E9PCH5_HUMAN', 293, 301), ('sp_P20810-8_ICAL_HUMAN', 306, 314), ('gi_27765085_ref_NP_775083.1_', 306, 314), ('tr_E7EVY3_E7EVY3_HUMAN', 314, 322), ('tr_B7Z574_B7Z574_HUMAN', 314, 322), ('sp_P20810-2_ICAL_HUMAN', 315, 323), ('gi_298919189_ref_NP_001177371.1_', 315, 323), ('sp_P20810_ICAL_HUMAN', 328, 336), ('tr_G5E9D3_G5E9D3_HUMAN', 370, 378), ('gi_109637759_ref_NP_001035905.1_', 370, 378), ('tr_B7Z468_B7Z468_HUMAN', 374, 382), ('sp_P20810-5_ICAL_HUMAN', 376, 384), ('tr_E7ESM9_E7ESM9_HUMAN', 389, 397), ('sp_P20810-7_ICAL_HUMAN', 392, 400), ('sp_P20810-6_ICAL_HUMAN', 411, 419)]	108	0.00064	1	9	9
13619			[('tr_B8ZZC5_B8ZZC5_HUMAN', 79, 90), ('tr_B8ZZA8_B8ZZA8_HUMAN', 145, 156), ('sp_O94925-3_GLSK_HUMAN', 574, 585), ('gi_373251164_ref_NP_001243239.1_', 574, 585)]	144	2.6e-07	1	12	12
18457			[('tr_H7BZ72_H7BZ72_HUMAN', 28, 44), ('sp_Q9Y2X3_NOP58_HUMAN', 158, 174), ('gi_7706254_ref_NP_057018.1_', 158, 174)]	204	2e-13	6	22	17
14657			[('##tr_Q5TB14_Q5TB14_HUMAN', 103, 109), ('##tr_Q5TB13_Q5TB13_HUMAN', 115, 121), ('##tr_Q5TB12_Q5TB12_HUMAN', 174, 180), ('##sp_Q8N365_CA051_HUMAN', 174, 180), ('##gi_21389605_ref_NP_653298.1_', 174, 180)]	84	1.3	16	22	7
5430			[('sp_O75475-3_PSIP1_HUMAN', 204, 216), ('sp_O75475-2_PSIP1_HUMAN', 204, 216), ('gi_190014586_ref_NP_066967.3_', 204, 216), ('sp_O75475_PSIP1_HUMAN', 204, 216), ('gi_19923653_ref_NP_150091.2_', 204, 216), ('gi_190014588_ref_NP_001121689.1_', 204, 216)]	156	1.1e-08	3	15	13
5431			[('##sp_Q01780-2_EXOSX_HUMAN', 43, 48), ('##gi_4505917_ref_NP_002676.1_', 43, 48), ('##sp_Q01780_EXOSX_HUMAN', 43, 48), ('##gi_50301240_ref_NP_001001998.1_', 43, 48), ('##sp_Q8TER0-5_SNED1_HUMAN', 1238, 1243), ('##sp_Q8TER0-3_SNED1_HUMAN', 1266, 1271), ('##sp_Q8TER0-4_SNED1_HUMAN', 1279, 1284), ('##tr_B5MEF5_B5MEF5_HUMAN', 1294, 1299), ('##sp_Q8TER0_SNED1_HUMAN', 1327, 1332), ('##gi_122937283_ref_NP_001073906.1_', 1327, 1332), ('##tr_E9PMR6_E9PMR6_HUMAN', 1147, 1152), ('##sp_Q9NZN5-2_ARHGC_HUMAN', 1147, 1152), ('##gi_310832410_ref_NP_001185594.1_', 1147, 1152), ('##sp_Q9NZN5_ARHGC_HUMAN', 1147, 1152), ('##gi_7662088_ref_NP_056128.1_', 1147, 1152)]	72	25.0	1	6	6
13624			[('tr_E7ET19_E7ET19_HUMAN', 721, 728), ('tr_K4DIA1_K4DIA1_HUMAN', 721, 728), ('sp_Q14524-5_SCN5A_HUMAN', 721, 728), ('gi_237512982_ref_NP_001153633.1_', 721, 728), ('tr_E9PHB6_E9PHB6_HUMAN', 721, 728), ('sp_Q14524-3_SCN5A_HUMAN', 721, 728), ('gi_237512980_ref_NP_001153632.1_', 721, 728), ('tr_E9PG18_E9PG18_HUMAN', 721, 728), ('sp_Q14524-6_SCN5A_HUMAN', 721, 728), ('gi_150417969_ref_NP_001092875.1_', 721, 728), ('sp_Q14524-2_SCN5A_HUMAN', 721, 728), ('gi_30089970_ref_NP_000326.2_', 721, 728), ('tr_H9KVD2_H9KVD2_HUMAN', 721, 728), ('sp_Q14524_SCN5A_HUMAN', 721, 728), ('sp_Q14524-4_SCN5A_HUMAN', 721, 728), ('gi_150417967_ref_NP_001092874.1_', 721, 728), ('gi_37622907_ref_NP_932173.1_', 721, 728)]	96	0.73	22	29	8
